Résultat d exploitation,Capitaux propres,Rentabilité économique,Rentabilité Financière,Endettement sur capitaux propres,Liquidité relative,Liquidité immédiate,Dettes fiscales et sociales annee N,Endettement sur actifs,Variation du chiffre d'affaire,mod_date_annee_cloture_exo,Total Actif Circulant,Total Immobilisation,Actif net d exploitation,Ventes annee N,Ventes annee N-1,Marge commerciale,Dotations nettes,Marge sur EBE,Marge sur REX,Marge sur RCAI,Marge sur Résultat Net,Salaires annee N,Masse salariale nette,Charges sociales annee N,Masse salariale brute,Masse salariale nette sur Ch.Ex,Masse salariale brute sur Ch.Ex,Rotation de l actif,Rendement net de l actif,Etat de l outil,Immobilisation brute,Poids du BFR _ CA,Rotation des stocks,Delai recouvre client,Delai règlement fournisseurs,Emprunts,Disponibilités et ECA,Resultat net,id
8450.0,21260024.0,0.0107367439331043,0.009506245148171,-0.1168374033820469,1.238235402254035,0.984020593728455,11616.0,-0.0861671371870713,-0.52,0.0,722448.0,64569.0,787017.0,143342.0,301408.0,0.9996184487653,38163.0,0.7454900644058484,0.4542672690088825,0.4933991636396935,0.4933991636396935,0.0,0.0,0.0,0.0,0.0,0.0,1.061660982071245,-0.3577524388698847,0.8128699051646566,4669778.0,-0.1201657458563535,2.027939963020084,0.0,18.27293674067868,7562880.0,10046846.0,202103.0,11117
68481.0,190426.0,0.0429557758930537,0.8414134624473549,-0.2503912280886013,0.5660033465101754,0.4888070362932938,6516.0,-0.1039839316791046,0.11,2017.0,468634.0,1125587.0,1594221.0,21282238.0,19223673.0,0.8533620697151703,61499.0,0.035860460012914,0.0224649422352009,0.0229253085393719,0.0229253085393719,0.0,0.2246114870083727,0.0,0.3020906299662105,0.0610887798354393,0.0718404551233598,0.0,0.0670162857388545,0.1635865853779233,1616624.0,0.0164185001456672,25.13283371520706,48.03787178498599,18.50923066911749,13839.0,61520.0,160227.0,11459
66474.0,712383.0,0.0839834595262491,0.0,-0.6894465477138,0.877381304566188,0.4525562259633576,1640320.0,-0.6221112643748045,0.01,0.0,384982.0,406531.0,791513.0,3175911.0,3143933.0,0.7561638417836221,324205.0,0.0610474568205417,0.038924886981819,0.0385360761894467,0.0385360761894467,3699037.0,0.2524088288845613,1694059.0,0.3680052525622242,0.1553154058808745,0.1553154058808745,2.183143918233457,0.0929194094200236,0.0709787448653885,301386.0,0.0324981134351733,0.3566791598896824,92.4361674419341,60.24521568706542,762.0,491912.0,0.0,11587
16439.0,243028.0,0.0089344527803925,0.2644551245124019,3.960016952779104,0.1730120560231371,0.0544275826211289,346300.0,-0.1128137961143855,-0.02,2017.0,423282.0,1416674.0,1839956.0,19007192.0,19376368.0,0.0625618755867044,360389.0,0.0623803880274991,0.0443671354870356,0.0356213944592363,0.0356213944592363,536878.0,0.0268346675326353,167705.0,0.0352170335795969,0.0618735364371383,0.0785582419363841,0.4136885340000361,0.0777632644702974,0.3842551955482534,3136387.0,1.631047138232091,1.616334517619193,75.63183586687,5.724787644187622,1187063.0,224668.0,64270.0,13127
7788.0,2060431.0,0.0019953579999687,0.1821313113615549,0.2055545660107036,0.3344674022024326,0.013000537840525,266254.0,0.263139014862512,-0.05,2020.0,3682613.0,220446.0,3903059.0,993633.0,1043707.0,0.9898364805212282,24111.0,0.2433845485774292,0.2234793728684967,0.2256431763413146,0.2256431763413146,446758.0,0.3688273605147557,177281.0,0.5151841874756975,0.1257831064379838,0.1616639815028239,1.150868928639633,-0.2183928184791403,-130244.0,-3.0,-0.2361014221992532,1.696856293061255,81.46872391733461,56.01727417292882,1501415.0,1097884.0,375269.0,13520
335020.0,200798.0,0.1065151592227083,-0.0651351109074791,0.2131196525861811,1.395908982451574,1.350235352812303,42586.0,-0.0478361614118807,0.09,2021.0,2752741.0,392539.0,3145280.0,15108336.0,13914853.0,0.6180338635882936,15822.0,-0.0486123943850118,-0.0662254678229119,-0.0663390143714308,-0.0663390143714308,189519.0,0.2109728267524574,55694.0,0.272971468646681,0.2248116353257102,0.3132002122497846,1.954623984403218,-0.2286942097948675,0.1166419915556286,91185.0,0.120580868519776,8.133498345395356,30.64616891718894,87.27388005258767,40786.0,1745.0,-13079.0,15349
-81763.0,1499402.0,-0.1055259713944249,0.0,0.2168557865068874,0.4276560062462559,0.1077171136014685,229678.0,0.060827257114474,-0.13,0.0,604292.0,170522.0,774814.0,2318711.0,2672854.0,0.9169666906147664,12196.0,0.0284767124909521,0.020272470179234,0.0668535425697656,0.0668535425697656,684033.0,0.4601486127592247,211558.0,0.6024635598715952,0.0351679559454802,0.0506826537440719,0.4612413118625945,0.0793458695487437,0.711899995290509,1125387.0,0.1900961152953016,0.0,142.060337103141,58.2060649564505,293923.0,22290.0,0.0,16807
-2929628.0,189692.0,-0.2377436898221094,0.0,-0.3265820382514813,8.265609318794331,7.756024402070342,20944.0,-0.0443668842788097,0.33,2019.0,11766923.0,555709.0,12322632.0,248170.0,186230.0,0.3670210574030576,581.0,0.0205125387471783,0.019182428812791,0.019182428812791,0.019182428812791,56890.0,0.1302408849695288,28871.0,0.1963365887831211,0.0771577142954023,0.1172738761458539,15.15950579579371,0.215355000175798,0.7929146868004523,11676294.0,-0.0813404577775946,33.60623281393217,0.0,497.4560198809758,116301.0,178251.0,0.0,17400
192660.0,3343388.0,0.0118739007273858,0.1402771679505938,-0.6356558078212878,1.065774199588092,1.031966548087125,4963.0,-0.3065173106922926,-0.73,2018.0,9928317.0,6297185.0,16225502.0,398496.0,1450892.0,1.0,464.0,-3.1808,-3.204,-1.6539,-1.6539,28800.0,1.44,10607.0,1.97035,0.0,0.0,0.0099620892692857,-0.1269666034653484,0.531577496300193,0.0,-0.44935,2.728740521028626,0.0,64.60994432680239,76388.0,2201632.0,469001.0,17944
835.0,827161.0,0.0348192318919144,0.1376116620585351,-0.2058740680472121,1.598536183075311,1.503834941335608,34885.0,-0.9557258554922882,-0.03,2018.0,21699.0,2282.0,23981.0,64789664.0,67022159.0,0.6162226504326289,821.0,0.0747639356688,0.0725727675974015,0.0726955370630341,0.0726955370630341,121398.0,0.3239992954100233,47473.0,0.4507000528442482,0.5632510415513564,0.686379272504132,2.193211152020323,0.1503614886659399,0.3593004365925474,39396.0,0.0178789706580977,15.32954662355794,41.42471295965155,66.39102916895982,317287.0,549548.0,113827.0,18763
